,filename,preproc_ms,work_ms
53,dlmc/rn50/random_pruning/0.5/bottleneck_3_block_group4_1_1.mtx,1.868928,0.08912
54,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group_projection_block_group1.mtx,0.029216,0.014976
55,dlmc/rn50/random_pruning/0.7/final_dense.mtx,2.4584,0.104704
56,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group_projection_block_group4.mtx,3.59712,0.10848
57,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group3_2_1.mtx,0.847264,0.05744
58,dlmc/rn50/random_pruning/0.7/bottleneck_projection_block_group_projection_block_group3.mtx,0.904288,0.056032
59,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group3_4_1.mtx,0.822912,0.057088
60,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group1_1_1.mtx,0.043648,0.014688
61,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group2_1_1.mtx,0.689152,0.049568
62,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group3_1_1.mtx,0.827456,0.057632
63,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group3_2_1.mtx,0.617984,0.056864
64,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group3_1_1.mtx,1.671328,0.057952
65,dlmc/rn50/random_pruning/0.7/initial_conv.mtx,0.049984,0.010656
66,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group_projection_block_group3.mtx,0.611072,0.056576
67,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group2_3_1.mtx,1.311552,0.058944
68,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group2_1_1.mtx,0.893088,0.050304
69,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group3_2_1.mtx,1.658752,0.058688
70,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group_projection_block_group2.mtx,0.035584,0.013792
71,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group_projection_block_group1.mtx,0.038528,0.015136
72,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group2_2_1.mtx,0.904256,0.050176
73,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group3_5_1.mtx,0.844896,0.0576
74,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group4_2_1.mtx,1.585344,0.062688
75,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group2_2_1.mtx,0.696992,0.05744
76,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group3_5_1.mtx,1.660736,0.057376
77,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group_projection_block_group1.mtx,0.69792,0.03072
78,dlmc/rn50/random_pruning/0.7/bottleneck_projection_block_group_projection_block_group4.mtx,2.130208,0.106688
79,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group_projection_block_group4.mtx,1.578816,0.062624
80,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group_projection_block_group3.mtx,1.656832,0.058976
81,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group1_1_1.mtx,0.69648,0.031136
82,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group2_2_1.mtx,0.035456,0.01456
83,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group1_1_1.mtx,0.60192,0.033184
84,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group_projection_block_group3.mtx,0.686816,0.057248
85,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group2_3_1.mtx,0.68688,0.053184
86,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group3_3_1.mtx,0.620192,0.056576
87,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group3_5_1.mtx,0.615232,0.05632
88,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group3_3_1.mtx,0.854272,0.057472
89,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group4_2_1.mtx,2.03184,0.06064
90,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group_projection_block_group2.mtx,0.907872,0.050208
91,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group4_1_1.mtx,3.583552,0.106688
92,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group1_2_1.mtx,0.613888,0.032928
93,dlmc/rn50/random_pruning/0.7/bottleneck_projection_block_group_projection_block_group2.mtx,0.607968,0.057984
94,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group_projection_block_group2.mtx,0.650656,0.049408
95,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group3_3_1.mtx,1.672256,0.058464
96,dlmc/rn50/random_pruning/0.7/bottleneck_projection_block_group_projection_block_group1.mtx,0.037536,0.014752
97,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group2_1_1.mtx,0.036032,0.014272
98,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group2_3_1.mtx,0.035584,0.013568
99,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group1_2_1.mtx,0.679552,0.03072
100,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group3_4_1.mtx,1.670848,0.058752
101,dlmc/rn50/random_pruning/0.7/bottleneck_1_block_group_projection_block_group4.mtx,1.043616,0.0576
102,dlmc/rn50/random_pruning/0.7/bottleneck_2_block_group4_2_1.mtx,3.854368,0.106656
103,dlmc/rn50/random_pruning/0.7/bottleneck_3_block_group3_1_1.mtx,0.625568,0.056608
